E: -1074.314924 	BF: 0.211864 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.220339 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.228814 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.237288 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.245763 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.254237 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.262712 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.271186 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.279661 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.288136 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.296610 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.305085 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.313559 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.322034 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.330508 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.338983 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.347458 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.355932 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.364407 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.372881 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.381356 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.389831 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.398305 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.406780 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.415254 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.423729 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.432203 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.440678 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.449153 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.457627 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.466102 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.474576 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.483051 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.491525 	H(E,BF): 0.000000
E: -1074.314924 	BF: 0.500000 	H(E,BF): 0.000000
E: -1074.135940 	BF: 0.000000 	H(E,BF): 0.000000
E: -1074.135940 	BF: 0.008475 	H(E,BF): 1.000000
E: -1074.135940 	BF: 0.016949 	H(E,BF): 8.000000
